Date,Gold,Silver,Oil,USD
2000-07-05,286.85,4.98,30.35,107.12
2000-07-06,284.9,4.96,30.67,107.37
2000-07-07,282.85,4.96,30.62,107.65
2000-07-08,282.85,4.95,30.62,107.65
2000-07-10,284.1,4.96,30.58,107.01
2000-07-11,282.85,4.97,29.83,107.14
2000-07-12,279.95,4.94,30.27,108.12
2000-07-13,280.8,4.94,31.15,108.54
2000-07-14,280.25,4.94,30.82,108.45
2000-07-15,280.25,4.96,30.82,108.45
2000-07-17,282.45,4.97,28.44,108.7
2000-07-18,282.75,4.97,28.46,109.38
2000-07-19,279.2,4.98,28.33,109.59
2000-07-20,279.35,4.93,27.85,108.61
2000-07-21,279.3,4.95,26.68,108.42
2000-07-22,279.3,4.91,26.68,108.42
2000-07-24,279.75,4.88,26.84,108.69
2000-07-25,279.7,4.9,25.78,108.38
2000-07-26,279.4,4.94,25.92,108.11
2000-07-27,279.85,4.92,25.6,108.89
2000-07-28,278.1,4.92,25.96,109.74
2000-07-29,278.1,4.92,25.96,109.74
2000-07-31,276.75,4.91,25.3,109.57
2000-08-01,277.6,4.95,25.24,110.05
2000-08-02,277.6,4.94,26.8,110.67
2000-08-03,275.5,4.94,27.04,110.98
2000-08-04,273.95,4.92,28.01,110.85
2000-08-05,273.95,4.89,28.01,110.85
2000-08-07,273.2,4.89,27.56,110.8
2000-08-08,273.1,4.9,27.58,111.32
2000-08-09,272.0,4.86,28.13,111.44
2000-08-10,272.2,4.85,28.98,110.9
2000-08-11,272.7,4.85,29.44,111.21
2000-08-14,275.45,4.87,29.24,111.08
2000-08-15,274.15,4.84,30.0,110.51
2000-08-16,276.35,4.83,29.66,110.26
2000-08-17,277.2,4.83,30.71,110.11
2000-08-18,275.6,4.82,30.76,111.01
2000-08-19,275.6,4.82,30.76,111.01
2000-08-21,274.6,4.8,31.34,111.46
2000-08-22,273.4,4.81,30.18,111.79
2000-08-23,273.15,4.79,32.38,111.42
2000-08-24,272.6,4.75,31.67,111.23
2000-08-25,273.65,4.81,33.26,111.35
2000-08-28,273.65,4.85,33.29,111.46
2000-08-29,274.0,4.87,34.03,112.2
2000-08-30,273.3,4.89,34.13,112.14
2000-08-31,277.0,4.87,35.08,112.6
2000-09-01,277.0,4.92,35.09,111.42
2000-09-02,277.0,4.94,35.09,111.42
2000-09-04,276.65,4.92,36.02,111.42
2000-09-05,275.0,4.92,35.72,112.41
2000-09-06,274.15,4.92,36.7,114.12
2000-09-07,272.7,4.9,37.43,113.65
2000-09-08,272.75,4.86,36.27,114.34
2000-09-09,272.75,4.88,36.27,114.34
2000-09-11,272.55,4.86,36.87,115.37
2000-09-12,274.65,4.83,33.3,115.17
2000-09-13,272.5,4.84,31.08,115.34
2000-09-14,273.1,4.83,31.35,115.16
2000-09-15,272.6,4.84,33.68,115.94
2000-09-16,272.6,4.84,33.68,115.94
2000-09-18,273.0,4.82,34.55,116.0
2000-09-19,271.85,4.83,33.48,116.11
2000-09-20,271.4,4.83,33.67,116.41
2000-09-21,269.5,4.79,32.18,115.27
2000-09-22,273.95,4.83,31.59,113.56
2000-09-23,273.95,4.87,31.59,113.56
2000-09-25,272.85,4.86,30.01,114.06
2000-09-26,274.85,4.87,29.94,113.16
2000-09-27,276.15,4.87,29.78,113.11
2000-09-28,276.4,4.9,28.91,113.31
2000-09-29,273.65,4.87,28.42,113.25
2000-09-30,273.65,4.85,28.42,113.25
2000-10-02,273.1,4.85,29.65,113.79
2000-10-03,272.1,4.84,30.64,114.22
2000-10-04,271.35,4.85,30.07,114.17
2000-10-05,270.4,4.83,29.19,114.74
2000-10-06,270.0,4.83,29.62,114.85
2000-10-09,270.0,4.83,29.99,114.81
2000-10-10,270.5,4.83,30.95,114.36
2000-10-11,272.75,4.85,31.25,114.49
2000-10-12,274.0,4.83,33.45,114.89
2000-10-13,273.25,4.86,33.5,115.86
2000-10-16,271.6,4.83,32.03,116.39
2000-10-17,270.25,4.82,30.38,115.89
2000-10-18,272.0,4.8,30.98,117.33
2000-10-19,270.3,4.8,31.29,116.94
2000-10-20,270.45,4.79,30.16,117.16
2000-10-23,271.45,4.8,30.98,117.54
2000-10-24,270.2,4.75,31.81,117.42
2000-10-25,266.8,4.75,31.17,118.49
2000-10-26,266.4,4.72,31.48,118.5
2000-10-27,263.8,4.69,31.31,117.39
2000-10-30,264.75,4.71,31.09,117.25
2000-10-31,264.5,4.7,30.15,116.65
2000-11-01,265.5,4.71,31.62,115.56
2000-11-02,264.85,4.72,30.81,115.61
2000-11-03,264.65,4.68,30.81,114.97
2000-11-06,265.7,4.71,31.0,115.69
2000-11-07,265.5,4.71,31.59,115.52
2000-11-08,264.1,4.68,31.3,116.23
2000-11-09,264.65,4.69,31.79,115.34
2000-11-10,264.85,4.7,32.26,115.79
2000-11-13,264.85,4.66,32.5,115.7
2000-11-14,264.95,4.63,33.05,116.22
2000-11-15,264.6,4.64,33.82,116.35
2000-11-16,266.7,4.63,34.16,116.93
2000-11-17,265.25,4.62,33.09,117.31
2000-11-20,266.15,4.61,34.23,117.35
2000-11-21,266.15,4.61,33.33,117.95
2000-11-22,266.15,4.6,33.11,117.85
2000-11-23,265.7,4.59,33.29,118.09
2000-11-24,265.55,4.59,33.35,118.48
2000-11-27,268.15,4.59,33.47,117.1
2000-11-28,269.95,4.67,32.59,116.58
2000-11-29,269.1,4.66,32.45,116.61
2000-11-30,269.1,4.59,32.53,115.24
2000-12-01,269.2,4.65,31.59,114.73
2000-12-04,270.7,4.62,30.37,113.71
2000-12-05,270.8,4.68,28.88,114.47
2000-12-06,271.6,4.68,27.47,113.31
2000-12-07,273.9,4.72,27.85,113.54
2000-12-08,272.95,4.7,26.85,114.05
2000-12-11,270.7,4.63,27.28,114.29
2000-12-12,270.75,4.63,26.81,114.26
2000-12-13,269.6,4.63,26.84,114.71
2000-12-14,269.3,4.6,24.32,113.38
2000-12-15,270.35,4.58,24.44,112.9
2000-12-18,270.2,4.55,25.11,113.07
2000-12-19,269.55,4.55,24.36,113.21
2000-12-20,272.45,4.57,23.29,111.97
2000-12-21,273.1,4.57,22.4,111.51
2000-12-22,273.1,4.57,22.23,110.82
2000-12-25,273.1,4.57,22.23,110.82
2000-12-26,273.1,4.6,22.23,110.31
2000-12-27,275.05,4.61,22.58,110.32
2000-12-28,274.45,4.57,22.29,110.38
2000-12-29,274.45,4.55,22.58,109.56
2001-01-01,274.45,4.55,22.58,109.56
2001-01-02,271.1,4.56,23.43,108.77
2001-01-03,267.15,4.52,23.44,110.17
2001-01-04,267.1,4.47,24.57,108.81
2001-01-05,267.4,4.51,24.77,108.42
2001-01-08,268.3,4.53,24.75,108.86
2001-01-09,267.0,4.52,24.13,109.52
2001-01-10,266.3,4.51,24.98,109.86
2001-01-11,264.15,4.5,25.6,109.01
2001-01-12,263.7,4.54,25.63,109.36
2001-01-15,263.5,4.58,26.03,109.97
2001-01-16,264.45,4.58,25.52,110.11
2001-01-17,263.5,4.63,24.27,110.81
2001-01-18,264.9,4.66,24.74,109.94
2001-01-19,264.9,4.77,26.29,110.66
2001-01-20,264.9,4.74,26.29,110.66
2001-01-21,264.9,4.73,26.29,110.66
2001-01-22,266.15,4.73,27.69,110.24
2001-01-23,266.1,4.75,27.02,110.24
2001-01-24,264.25,4.76,27.04,111.68
2001-01-25,264.9,4.74,26.94,111.61
2001-01-26,263.55,4.74,27.04,111.46
2001-01-27,263.55,4.79,27.04,111.46
2001-01-29,262.85,4.76,26.95,111.77
2001-01-30,264.95,4.76,26.32,110.98
2001-01-31,264.5,4.77,26.59,110.52
2001-02-01,267.65,4.76,27.17,109.66
2001-02-02,266.7,4.75,28.9,110.32
2001-02-03,266.7,4.75,28.9,110.32
2001-02-05,265.45,4.72,29.25,109.89
2001-02-06,262.7,4.64,29.1,110.77
2001-02-07,263.15,4.62,29.54,110.89
2001-02-08,262.95,4.58,30.68,112.06
2001-02-09,259.9,4.53,29.53,111.52
2001-02-10,259.9,4.54,29.53,111.52
2001-02-12,261.1,4.5,29.32,111.19
2001-02-13,260.75,4.53,28.0,111.96
2001-02-14,260.25,4.52,27.89,112.04
2001-02-15,258.55,4.49,26.33,113.2
2001-02-16,257.45,4.49,26.61,112.26
2001-02-17,257.45,4.51,26.61,112.26
2001-02-19,259.45,4.48,27.05,111.92
2001-02-20,256.25,4.47,26.45,112.82
2001-02-21,257.5,4.4,26.1,113.12
2001-02-22,258.85,4.39,25.75,113.34
2001-02-23,260.45,4.39,26.12,112.03
2001-02-24,260.45,4.42,26.12,112.03
2001-02-25,260.45,4.42,26.12,112.03
2001-02-26,263.2,4.42,25.84,112.77
2001-02-27,268.3,4.41,25.28,112.34
2001-02-28,266.7,4.4,25.16,112.01
2001-03-01,266.35,4.45,24.76,111.28
2001-03-02,263.1,4.38,25.28,111.17
2001-03-03,263.1,4.41,25.28,111.17
2001-03-04,263.1,4.39,25.28,111.17
2001-03-05,262.5,4.37,25.98,111.54
2001-03-06,261.85,4.39,25.59,111.2
2001-03-07,260.65,4.39,25.91,111.83
2001-03-08,263.65,4.41,26.37,111.49
2001-03-09,269.8,4.47,25.78,111.44
2001-03-10,269.8,4.49,25.78,111.44
2001-03-12,272.5,4.49,25.34,112.01
2001-03-13,269.3,4.4,24.8,113.11
2001-03-14,263.85,4.4,24.31,113.7
2001-03-15,262.05,4.41,23.37,114.71
2001-03-16,260.7,4.33,23.84,115.32
2001-03-17,260.7,4.3,23.84,115.32
2001-03-19,260.55,4.28,23.19,115.2
2001-03-20,261.55,4.3,23.63,114.11
2001-03-21,262.0,4.31,23.21,115.53
2001-03-22,261.15,4.31,23.45,116.3
2001-03-23,262.85,4.31,23.94,115.94
2001-03-24,262.85,4.34,23.94,115.94
2001-03-26,262.2,4.32,24.01,115.21
2001-03-27,262.0,4.34,24.41,115.43
2001-03-28,260.15,4.4,24.5,116.01
2001-03-29,260.15,4.34,23.77,116.6
2001-03-30,257.7,4.3,23.5,117.37
2001-03-31,257.7,4.28,23.5,117.37
2001-04-02,255.95,4.27,23.31,117.34
2001-04-03,257.1,4.28,23.47,115.63
2001-04-04,259.45,4.29,24.35,115.08
2001-04-05,258.1,4.31,24.87,115.47
2001-04-06,258.8,4.31,24.02,114.75
2001-04-07,258.8,4.32,24.02,114.75
2001-04-09,259.0,4.32,24.37,115.21
2001-04-10,256.65,4.3,25.64,116.02
2001-04-11,257.7,4.29,26.08,116.13
2001-04-12,259.25,4.34,27.12,115.54
2001-04-13,259.25,4.34,26.8,115.54
2001-04-14,259.25,4.36,26.8,115.54
2001-04-16,259.25,4.36,26.8,116.18
2001-04-17,260.55,4.4,26.99,116.46
2001-04-18,258.85,4.35,26.11,116.13
2001-04-19,263.1,4.35,25.86,115.02
2001-04-20,263.85,4.39,25.57,114.32
2001-04-21,263.85,4.43,25.57,114.32
2001-04-23,262.6,4.41,25.42,114.77
2001-04-24,263.4,4.41,25.76,115.2
2001-04-25,263.5,4.41,25.49,114.98
2001-04-26,263.5,4.35,26.71,114.46
2001-04-27,264.6,4.36,26.85,115.62
2001-04-30,263.15,4.34,27.21,115.85
2001-05-01,264.0,4.31,27.31,115.3
2001-05-02,263.95,4.34,26.82,115.16
2001-05-03,266.4,4.35,27.46,115.38
2001-05-04,266.6,4.32,27.59,114.93
2001-05-05,266.6,4.33,27.59,114.93
2001-05-07,266.6,4.31,27.71,115.32
2001-05-08,265.2,4.29,27.45,116.08
2001-05-09,267.85,4.29,27.46,116.05
2001-05-10,268.45,4.35,28.27,116.37
2001-05-11,269.05,4.31,27.97,116.84
2001-05-14,268.35,4.3,27.77,117.14
2001-05-15,266.6,4.31,27.88,116.79
2001-05-16,270.9,4.3,28.19,116.14
2001-05-17,274.0,4.42,28.57,116.12
2001-05-18,273.0,4.44,29.3,116.41
2001-05-19,273.0,4.56,29.3,116.41
2001-05-21,291.25,4.56,29.8,116.52
2001-05-22,284.15,4.49,29.72,117.69
2001-05-23,283.15,4.51,29.51,118.29
2001-05-24,286.05,4.52,28.85,118.36
2001-05-25,276.25,4.55,28.69,118.18
2001-05-28,276.25,4.52,28.69,118.18
2001-05-29,275.75,4.51,29.11,118.22
2001-05-30,271.0,4.48,28.92,118.22
2001-05-31,267.5,4.4,28.55,119.07
2001-06-01,265.4,4.38,28.86,118.89
2001-06-02,265.4,4.4,28.86,118.89
2001-06-04,266.5,4.37,28.95,119.19
2001-06-05,265.7,4.31,29.25,118.7
2001-06-06,265.5,4.32,28.73,119.36
2001-06-07,266.1,4.31,28.55,119.09
2001-06-08,267.0,4.32,28.88,119.21
2001-06-09,267.0,4.36,28.88,119.21
2001-06-11,268.5,4.32,29.57,120.05
2001-06-12,269.9,4.31,29.03,119.61
2001-06-13,271.95,4.34,29.13,119.03
2001-06-14,272.4,4.37,28.5,117.99
2001-06-15,272.2,4.43,28.13,118.29
2001-06-16,272.2,4.44,28.13,118.29
2001-06-18,272.0,4.36,27.61,118.36
2001-06-19,273.4,4.39,26.68,119.04
2001-06-20,271.5,4.38,26.24,119.13
2001-06-21,271.7,4.32,26.7,118.89
2001-06-22,273.3,4.3,26.86,118.91
2001-06-23,273.3,4.29,26.86,118.91
2001-06-25,272.9,4.29,27.36,118.32
2001-06-26,274.0,4.28,27.66,118.07
2001-06-27,274.8,4.32,26.25,118.38
2001-06-28,269.5,4.29,25.68,120.01
2001-06-29,270.6,4.28,26.21,119.43
2001-06-30,270.6,4.33,26.21,119.43
2001-07-02,268.35,4.28,25.73,119.67
2001-07-03,268.5,4.26,25.56,119.6
2001-07-04,267.6,4.24,25.97,119.91
2001-07-05,266.3,4.24,25.69,120.9
2001-07-06,265.1,4.19,26.55,119.9
2001-07-07,265.1,4.25,26.55,119.9
2001-07-09,266.1,4.22,25.59,119.89
2001-07-10,267.45,4.2,24.69,119.13
2001-07-11,267.55,4.23,24.44,118.64
2001-07-12,266.3,4.22,23.62,119.09
2001-07-13,266.35,4.23,24.02,119.33
2001-07-14,266.35,4.3,24.02,119.33
2001-07-16,268.25,4.27,23.58,119.3
2001-07-17,267.6,4.19,23.9,118.9
2001-07-18,268.55,4.21,23.1,117.38
2001-07-19,270.3,4.25,23.35,117.33
2001-07-20,269.7,4.2,23.43,117.21
2001-07-21,269.7,4.22,23.43,117.21
2001-07-23,268.7,4.21,24.44,117.85
2001-07-24,268.75,4.22,24.37,117.12
2001-07-25,268.4,4.22,24.9,116.64
2001-07-26,267.5,4.21,24.94,116.74
2001-07-27,266.15,4.21,24.82,116.94
2001-07-28,266.15,4.21,24.82,116.94
2001-07-30,266.3,4.19,24.46,117.2
2001-07-31,265.9,4.18,24.35,117.18
2001-08-01,267.35,4.2,24.23,116.56
2001-08-02,267.0,4.21,25.49,116.28
2001-08-03,267.85,4.21,25.6,116.14
2001-08-04,267.85,4.22,25.6,116.14
2001-08-06,267.2,4.2,25.39,116.42
2001-08-07,266.45,4.17,25.94,116.83
2001-08-08,266.4,4.14,25.61,116.54
2001-08-09,270.0,4.13,25.28,115.25
2001-08-10,275.8,4.18,25.78,115.29
2001-08-11,275.8,4.13,25.78,115.29
2001-08-13,275.6,4.13,25.88,115.01
2001-08-14,274.5,4.11,25.71,114.39
2001-08-15,275.35,4.17,25.61,113.19
2001-08-16,275.9,4.13,25.18,113.08
2001-08-17,277.45,4.17,24.68,112.99
2001-08-18,277.45,4.26,24.68,112.99
2001-08-20,276.65,4.23,24.35,113.4
2001-08-21,276.3,4.13,25.36,113.29
2001-08-22,275.85,4.18,25.71,113.27
2001-08-23,274.85,4.18,25.66,113.09
2001-08-24,272.8,4.19,26.33,113.33
2001-08-25,272.8,4.18,26.33,113.33
2001-08-27,272.8,4.17,26.22,113.39
2001-08-28,271.05,4.17,26.46,113.43
2001-08-29,272.85,4.17,26.67,113.54
2001-08-30,272.3,4.17,26.7,112.84
2001-08-31,273.0,4.15,26.8,113.42
2001-09-01,273.0,4.17,26.8,113.42
2001-09-03,273.35,4.15,26.52,113.67
2001-09-04,272.3,4.15,26.27,115.68
2001-09-05,271.3,4.14,26.27,115.6
2001-09-06,272.05,4.15,26.61,114.97
2001-09-07,273.6,4.15,27.54,114.05
2001-09-08,273.6,4.16,27.54,114.05
2001-09-10,271.5,4.15,27.59,114.57
2001-09-11,287.0,4.14,29.12,114.57
2001-09-12,279.0,4.18,28.24,114.57
2001-09-13,280.25,4.17,28.2,114.57
2001-09-14,285.75,4.19,29.22,114.57
2001-09-15,285.75,4.28,29.22,114.57
2001-09-17,293.25,4.25,28.32,112.01
2001-09-18,289.4,4.31,27.54,111.92
2001-09-19,288.1,4.41,25.44,111.61
2001-09-20,288.5,4.6,25.57,111.87
2001-09-21,292.5,4.48,25.17,113.04
2001-09-22,292.5,4.58,25.17,113.04
2001-09-24,288.2,4.55,20.63,112.84
2001-09-25,288.0,4.5,20.13,112.28
2001-09-26,291.45,4.47,20.67,112.29
2001-09-27,289.8,4.52,21.47,112.98
2001-09-28,293.1,4.54,21.87,113.48
2001-09-29,293.1,4.62,21.87,113.48
2001-10-01,290.6,4.61,21.22,113.0
2001-10-02,291.65,4.6,21.29,113.01
2001-10-03,290.1,4.57,20.63,113.4
2001-10-04,290.35,4.57,20.94,113.16
2001-10-05,291.2,4.61,21.46,112.91
2001-10-06,291.2,4.64,21.46,112.91
2001-10-08,291.85,4.63,20.91,112.59
2001-10-09,290.0,4.59,20.65,113.35
2001-10-10,287.15,4.49,21.02,113.7
2001-10-11,281.85,4.38,21.38,114.44
2001-10-12,281.8,4.39,20.57,113.89
2001-10-13,281.8,4.43,20.57,113.89
2001-10-15,281.85,4.4,20.36,113.82
2001-10-16,281.1,4.34,20.47,113.92
2001-10-17,281.6,4.3,19.47,114.38
2001-10-18,281.0,4.31,19.21,114.35
2001-10-19,279.15,4.23,19.91,114.86
2001-10-20,279.15,4.24,19.91,114.86
2001-10-22,275.9,4.22,20.38,115.75
2001-10-23,276.05,4.19,20.56,115.85
2001-10-24,275.5,4.2,20.37,115.6
2001-10-25,276.7,4.18,20.67,115.55
2001-10-26,277.25,4.18,20.31,115.65
2001-10-27,277.25,4.18,20.31,115.65
2001-10-29,278.6,4.18,20.55,114.44
